Date,Revenue
01/06/2020,15.590.000
02/06/2020,14.660.000
03/06/2020,12.460.000
04/06/2020,12.080.000
05/06/2020,16.940.000
06/06/2020,10.330.000
07/06/2020,14.545.000
08/06/2020,17.240.000
09/06/2020,13.820.000
10/06/2020,19.540.000
11/06/2020,16.060.000
12/06/2020,14.190.000
13/06/2020,13.340.000
14/06/2020,18.820.000
15/06/2020,14.480.000
16/06/2020,12.570.000
17/06/2020,16.610.000
18/06/2020,14.650.000
19/06/2020,12.760.000
20/06/2020,14.230.000
21/06/2020,11.370.000
22/06/2020,12.440.000
23/06/2020,13.950.000
24/06/2020,18.510.000
25/06/2020,19.120.000
26/06/2020,16.330.000
27/06/2020,14.760.000
28/06/2020,12.950.000
29/06/2020,17.450.000
30/06/2020,15.220.000
31/06/2020,18.130.000
