Date,Revenue
01/07/2020,12.990.000
02/07/2020,19.660.000
03/07/2020,14.860.000
04/07/2020,18.480.000
05/07/2020,12.240.000
06/07/2020,13.330.000
07/07/2020,16.545.000
08/07/2020,15.140.000
09/07/2020,11.620.000
10/07/2020,14.740.000
11/07/2020,17.560.000
12/07/2020,15.290.000
13/07/2020,12.440.000
14/07/2020,13.120.000
15/07/2020,14.280.000
16/07/2020,11.670.000
17/07/2020,12.810.000
18/07/2020,15.450.000
19/07/2020,16.260.000
20/07/2020,18.530.000
21/07/2020,19.170.000
22/07/2020,16.340.000
23/07/2020,13.650.000
24/07/2020,12.210.000
25/07/2020,14.120.000
26/07/2020,15.930.000
27/07/2020,11.460.000
28/07/2020,12.250.000
29/07/2020,13.350.000
30/07/2020,16.220.000
31/07/2020,16.130.000
